Player,BirthYear,transfermarkt_player_id
El Bilal Touré,2001,
El Chadaille Bitshiabu,2005,
Eldor Shomurodov,1995,
Elia Caprile,2001,
Elliot Anderson,2002,
Ellyes Skhiri,1995,
Elseid Hysaj,1994,
Elye Wahi,2003,
Emanuel Vignato,2000,
Emanuele Valeri,1998,
Emerson,1999,
Emil Audero,1997,
Emil Bohinen,1999,
Emil Holm,2000,
Emil Krafth,1994,
Emile Smith Rowe,2000,
Emiliano Martínez,1992,
Emiliano Rigoni,1993,
Emiliano Viviano,1985,
Emirhan İlkhan,2004,
Emmanuel Dennis,1997,
Emmanuel Gyasi,1994,
Emre Can,1994,
Enes Ünal,1997,
Enock Kwateng,1997,
Enric Gallego,1986,
Enrico Brignola,1999,
Enzo Barrenechea,2001,
Enzo Crivelli,1995,
Enzo Ebosse,1999,
Enzo Le Fée,2000,
Enzo Loiodice,2000,
Enzo Millot,2002,
Eray Cömert,1998,
Eren Dinkçi,2001,
Eric Bailly,1994,
Eric Dier,1994,
Eric García,2001,
Erick Pulgar,1994,
Erik Botheim,2000,
Erik Durm,1992,
Erik Pieters,1988,
Erik Thommy,1994,
Erling Haaland,2000,
Ernest Nuamah,2003,
Ernesto Torregrossa,1992,
Ethan Ampadu,2000,
Etrit Berisha,1989,
Ezequiel Ponce,1997,
Ezequiel Schelotto,1989,
Ezgjan Alioski,1992,
Fabian Delph,1989,
Fabian Lustenberger,1988,
Fabian Rieder,2002,
Fabian Schär,1991,
Fabiano Parisi,2000,
Fabien Centonze,1996,
Fabinho,1993,
Fabio Borini,1991,
Fabio Ceravolo,1987,
Fabio Depaoli,1997,
Fabio Miretti,2003,
Fabián Balbuena,1991,
Fabián Orellana,1986,
Facundo Buonanotte,2004,
Facundo Ferreyra,1991,
Facundo Pellistri,2001,
Facundo Roncaglia,1987,
Faitout Maouassa,1998,
Faride Alidou,2001,
Fayçal Fajr,1988,
Fede San Emeterio,1997,
Federico Barba,1993,
Federico Bernardeschi,1994,
Federico Bonazzoli,1997,
Federico Ceccherini,1992,
Federico Chiesa,1997,
Federico Di Francesco,1994,
Federico Dimarco,1997,
Federico Fernández,1989,
Federico Mattiello,1995,
Federico Viviani,1992,
Felipe,1989,
Felipe,1987,
Felipe Anderson,1993,
Felipe Avenatti,1993,
Felipe Caicedo,1988,
Felix Afena-Gyan,2003,
Felix Klaus,1992,
Felix Nmecha,2000,
Ferland Mendy,1995,
Fernando,1987,
Fernando,1990,
Fernando Calero,1995,
Fernando Llorente,1985,
Fernando Pacheco,1992,
Fernando Torres,1984,
Festy Ebosele,2002,
Fikayo Tomori,1997,
Filip Helander,1993,
Filip Jørgensen,2002,
Filip Kostić,1992,
Filipe Luís,1985,
Filippo Bandinelli,1995,
Filippo Melegoni,1999,
Filippo Missori,2004,
Filippo Ranocchia,2001,
Filippo Romagna,1997,
Filippo Terracciano,2003,
Finn Dahmen,1998,
Flavien Tait,1993,
Flavius Daniliuc,2001,
Florent Mollet,1991,
Florian Grillitsch,1995,
Florian Kainz,1992,
Florian Lejeune,1991,
Florian Müller,1997,
Florian Niederlechner,1990,
Florian Thauvin,1993,
Florin Andone,1993,
Flynn Downes,1999,
Fodé Ballo-Touré,1997,
Folarin Balogun,2001,
Fousseni Diabaté,1995,
Francesco Acerbi,1988,
Francesco Caputo,1987,
Francesco Cassata,1997,
Francesco Zampano,1993,
Francis Coquelin,1991,
Francis Guerrero,1996,
Francisco Trincão,1999,
Franck Honorat,1996,
Franck Kessié,1996,
