Player,BirthYear,transfermarkt_player_id,rumor_count,rumor_prob_max,rumor_prob_mean,rumor_first,rumor_last,leagues_mentioned
Claudio Bravo,1983.0,,,,,,,
Claudio Marchisio,1986.0,,,,,,,
Clinton N'Jie,1993.0,,,,,,,
Clément Grenier,1991.0,,,,,,,
Clément Lenglet,1995.0,,,,,,,
Clément Michelin,1997.0,,,,,,,
Cody Drameh,2001.0,,,,,,,
Colin Dagba,1998.0,,,,,,,
Conor Coady,1993.0,,,,,,,
Conor Gallagher,2000.0,,,,,,,
Conor Hourihane,1991.0,,,,,,,
Corentin Jean,1995.0,,,,,,,
Corentin Tolisso,1994.0,,,,,,,
Craig Dawson,1990.0,,,,,,,
Cristian Benavente,1994.0,,,,,,,
Cristian Romero,1998.0,,,,,,,
Cristian Tello,1991.0,,,,,,,
Cristian Volpato,2003.0,,,,,,,
Cristiano Biraghi,1992.0,,,,,,,
Cristiano Ronaldo,1985.0,,,,,,,
Cuco Martina,1989.0,,,,,,,
Cyle Larin,1995.0,,,,,,,
Cyril Ngonge,2000.0,,,,,,,
Cédric Bakambu,1991.0,,,,,,,
Cédric Brunner,1994.0,,,,,,,
Cédric Soares,1991.0,,,,,,,
César Azpilicueta,1989.0,,,,,,,
César Montes,1997.0,,,,,,,
Daichi Kamada,1996.0,,,,,,,
Dale Stephens,1989.0,,,,,,,
Daley Blind,1990.0,,,,,,,
Daley Sinkgraven,1995.0,,,,,,,
Damien Da Silva,1988.0,,,,,,,
Damien Le Tallec,1990.0,,,,,,,
Dan Ndoye,2000.0,,,,,,,
Dango Ouattara,2002.0,,,,,,,
Dani Alves,1983.0,,,,,,,
Dani García,1990.0,,,,,,,
Dani Gómez,1998.0,,,,,,,
Dani Olmo,1998.0,,,,,,,
Daniel Bessa,1993.0,,,,,,,
Daniel Caligiuri,1988.0,,,,,,,
Daniel Carriço,1988.0,,,,,,,
Daniel Didavi,1990.0,,,,,,,
Daniel Ginczek,1991.0,,,,,,,
Daniel James,1997.0,,,,,,,
Daniel Maldini,2001.0,,,,,,,
Daniel Podence,1995.0,,,,,,,
